OBJECTID,AQI,Category,ResponsiblePollutant,PollenCount,PollenType,PollenDescription,ReportDateTime
1739,47,Good,Ozone 8-hr,10,Elm, Juniper,2017/04/05 05:00:00+00
1740,41,Good,Ozone 8-hr,11,Elm, Juniper,2017/04/04 05:00:00+00
1741,45,Good,Ozone 8-hr,9,Elm, Juniper,2017/04/03 05:00:00+00
1742,33,Good,PM2.5,,,Not on file,2017/04/02 05:00:00+00
1743,24,Good,Ozone 8-hr,,,Not on file,2017/04/01 05:00:00+00
1744,42,Good,Ozone 8-hr,8,Juniper, Maple,2017/03/31 05:00:00+00
1745,47,Good,Ozone 8-hr,9,Juniper, Maple,2017/03/30 05:00:00+00
1746,41,Good,Ozone 8-hr,10,Juniper, Maple,2017/03/29 05:00:00+00
1747,35,Good,Ozone 8-hr,8,Juniper, Maple,2017/03/28 05:00:00+00
1748,35,Good,Ozone 8-hr,8,Juniper, Maple,2017/03/28 05:00:00+00
1749,,Not on file,,,,Not on file,2017/03/27 05:00:00+00
1750,39,Good,Ozone 8-hr,7,Juniper, Maple,2017/03/27 05:00:00+00
1751,42,Good,Ozone 8-hr,6,Juniper, Maple,2017/03/26 05:00:00+00
1752,44,Good,Ozone 8-hr,9,Juniper, Maple,2017/03/25 05:00:00+00
1753,46,Good,Ozone 8-hr,8,Juniper, Maple,2017/03/24 05:00:00+00
1754,42,Good,Ozone 8-hr,10,Juniper, Maple,2017/03/23 05:00:00+00
1755,54,Moderate,PM2.5,9,Juniper, Maple,2017/03/22 05:00:00+00
1756,43,Good,PM2.5,7,Juniper, Maple,2017/03/21 05:00:00+00
1757,34,Good,Ozone 8-hr,10,Juniper, Maple,2017/03/20 05:00:00+00
1758,40,Good,Ozone 8-hr,9,Juniper, Maple,2017/03/19 05:00:00+00
1759,45,Good,PM2.5,5,Juniper, Maple,2017/03/18 05:00:00+00
1760,39,Good,PM2.5,7,Juniper, Maple,2017/03/17 05:00:00+00
1761,38,Good,Ozone 8-hr,8,Alder, Juniper,2017/03/16 05:00:00+00
1762,37,Good,PM2.5,7,Alder, Juniper,2017/03/15 05:00:00+00
1763,31,Good,PM2.5,7,Alder, Juniper,2017/03/14 05:00:00+00
1764,40,Good,Ozone 8-hr,5,Alder, Juniper,2017/03/13 05:00:00+00
1765,33,Good,Ozone 8-hr,6,Alder, Juniper,2017/03/12 06:00:00+00
1766,48,Good,Ozone 8-hr,7,Alder, Juniper,2017/03/11 06:00:00+00
1767,48,Good,Ozone 8-hr,7,Alder, Juniper,2017/03/10 06:00:00+00
1768,42,Good,Ozone 8-hr,8,Alder, Juniper,2017/03/09 06:00:00+00
1769,33,Good,PM2.5,8,Alder, Juniper,2017/03/08 06:00:00+00
1770,52,Moderate,PM2.5,0,Alder, Juniper,2017/03/07 06:00:00+00
1771,54,Moderate,PM2.5,5,Alder, Juniper,2017/03/06 06:00:00+00
1772,44,Good,Ozone 8-hr,8,Alder, Juniper,2017/03/05 06:00:00+00
1773,37,Good,Ozone 8-hr,6,Alder, Juniper,2017/03/04 06:00:00+00
1774,37,Good,Ozone 8-hr,6,Alder, Juniper,2017/03/03 06:00:00+00
1775,38,Good,Ozone 8-hr,7,Alder, Juniper,2017/03/02 06:00:00+00
1776,25,Good,PM2.5,1,Alder, Juniper,2017/03/01 06:00:00+00
1777,21,Good,PM2.5,2,Alder, Juniper,2017/02/28 06:00:00+00
1778,35,Good,PM2.5,1,Alder, Juniper,2017/02/27 06:00:00+00
1779,23,Good,PM2.5,5,Alder, Juniper,2017/02/26 06:00:00+00
1780,34,Good,PM2.5,5,Alder, Juniper,2017/02/25 06:00:00+00
1781,42,Good,PM2.5,8,Alder, Juniper,2017/02/24 06:00:00+00
1782,50,Good,PM2.5,7,Alder, Juniper,2017/02/23 06:00:00+00
1783,56,Moderate,PM2.5,6,Alder, Juniper,2017/02/22 06:00:00+00
1784,59,Moderate,PM2.5,6,Alder, Juniper,2017/02/21 06:00:00+00
1785,68,Moderate,PM2.5,7,Alder, Juniper,2017/02/20 06:00:00+00
1786,62,Moderate,PM2.5,6,Alder, Juniper,2017/02/19 06:00:00+00
1787,41,Good,PM2.5,4,Alder, Juniper,2017/02/18 06:00:00+00
1788,33,Good,PM2.5,7,Alder, Juniper,2017/02/17 06:00:00+00
1789,26,Good,PM2.5,6,Alder, Elm,2017/02/16 06:00:00+00
1790,33,Good,PM2.5,1,Alder, Elm,2017/02/15 06:00:00+00
1791,19,Good,PM2.5,4,Alder, Elm,2017/02/14 06:00:00+00
1792,44,Good,PM2.5,5,Alder, Elm,2017/02/13 06:00:00+00
1793,54,Moderate,PM2.5,6,Alder, Elm,2017/02/12 06:00:00+00
1794,23,Good,PM2.5,6,Alder, Elm,2017/02/11 06:00:00+00
1795,30,Good,PM2.5,5,Alder, Elm,2017/02/10 06:00:00+00
1796,47,Good,PM2.5,,,Not on file,2017/02/09 06:00:00+00
1797,32,Good,PM2.5,,,Not on file,2017/02/08 06:00:00+00
1798,46,Good,PM2.5,,,Not on file,2017/02/07 06:00:00+00
1799,50,Good,PM2.5,,,Not on file,2017/02/06 06:00:00+00
1800,25,Good,PM2.5,,,Not on file,2017/02/05 06:00:00+00
1801,29,Good,PM2.5,,,Not on file,2017/02/04 06:00:00+00
1802,21,Good,PM2.5,,,Not on file,2017/02/03 06:00:00+00
1803,37,Good,PM2.5,,,Not on file,2017/02/02 06:00:00+00
1804,35,Good,PM2.5,,,Not on file,2017/02/01 06:00:00+00
1805,23,Good,PM2.5,,,Not on file,2017/01/31 06:00:00+00
1806,26,Good,PM2.5,,,Not on file,2017/01/30 06:00:00+00
1807,16,Good,PM2.5,,,Not on file,2017/01/29 06:00:00+00
1808,13,Good,PM2.5,,,Not on file,2017/01/28 06:00:00+00
1809,26,Good,PM2.5,,,Not on file,2017/01/27 06:00:00+00
1810,38,Good,PM2.5,,,Not on file,2017/01/26 06:00:00+00
1811,38,Good,PM2.5,,,Not on file,2017/01/26 06:00:00+00
1812,33,Good,PM2.5,,,Not on file,2017/01/25 06:00:00+00
1813,42,Good,PM2.5,,,Not on file,2017/01/24 06:00:00+00
1814,25,Good,PM2.5,,,Not on file,2017/01/23 06:00:00+00
1815,30,Good,PM2.5,,,Not on file,2017/01/22 06:00:00+00
1816,27,Good,PM2.5,,,Not on file,2017/01/21 06:00:00+00
1817,33,Good,PM2.5,,,Not on file,2017/01/20 06:00:00+00
1818,30,Good,PM2.5,,,Not on file,2017/01/19 06:00:00+00
1819,26,Good,PM2.5,,,Not on file,2017/01/18 06:00:00+00
1820,34,Good,PM2.5,,,Not on file,2017/01/17 06:00:00+00
1821,36,Good,PM2.5,,,Not on file,2017/01/16 06:00:00+00
1822,27,Good,PM2.5,,,Not on file,2017/01/15 06:00:00+00
1823,23,Good,PM2.5,,,Not on file,2017/01/14 06:00:00+00
1824,33,Good,PM2.5,,,Not on file,2017/01/13 06:00:00+00
1825,30,Good,PM2.5,,,Not on file,2017/01/12 06:00:00+00
1826,32,Good,PM2.5,,,Not on file,2017/01/11 06:00:00+00
1827,28,Good,PM2.5,,,Not on file,2017/01/10 06:00:00+00
1828,40,Good,PM2.5,,,Not on file,2017/01/09 06:00:00+00
1829,42,Good,PM2.5,,,Not on file,2017/01/08 06:00:00+00
1830,39,Good,PM2.5,,,Not on file,2017/01/07 06:00:00+00
1831,25,Good,PM2.5,,,Not on file,2017/01/06 06:00:00+00
1832,19,Good,PM2.5,,,Not on file,2017/01/05 06:00:00+00
1833,19,Good,PM2.5,,,Not on file,2017/01/04 06:00:00+00
1834,18,Good,PM2.5,,,Not on file,2017/01/03 06:00:00+00
1835,27,Good,PM2.5,,,Not on file,2017/01/02 06:00:00+00
1836,29,Good,PM2.5,,,Not on file,2017/01/01 06:00:00+00
1837,17,Good,PM2.5,,,Not on file,2016/12/31 06:00:00+00
1838,24,Good,PM2.5,,,Not on file,2016/12/30 06:00:00+00
1839,30,Good,PM2.5,,,Not on file,2016/12/29 06:00:00+00
1840,22,Good,PM2.5,,,Not on file,2016/12/28 06:00:00+00
1841,37,Good,PM2.5,,,Not on file,2016/12/27 06:00:00+00
1842,41,Good,PM2.5,,,Not on file,2016/12/26 06:00:00+00
1843,45,Good,PM2.5,,,Not on file,2016/12/25 06:00:00+00
1844,36,Good,PM2.5,,,Not on file,2016/12/24 06:00:00+00
1845,44,Good,PM2.5,,,Not on file,2016/12/23 06:00:00+00
1846,42,Good,PM2.5,,,Not on file,2016/12/22 06:00:00+00
1847,37,Good,PM2.5,,,Not on file,2016/12/21 06:00:00+00
1848,40,Good,PM2.5,,,Not on file,2016/12/20 06:00:00+00
1849,40,Good,PM2.5,,,Not on file,2016/12/19 06:00:00+00
1850,38,Good,PM2.5,,,Not on file,2016/12/18 06:00:00+00
1851,26,Good,PM2.5,,,Not on file,2016/12/17 06:00:00+00
1852,23,Good,PM2.5,,,Not on file,2016/12/16 06:00:00+00
1853,44,Good,PM2.5,,,Not on file,2016/12/15 06:00:00+00
1854,50,Good,PM2.5,,,Not on file,2016/12/14 06:00:00+00
1855,40,Good,PM2.5,,,Not on file,2016/12/13 06:00:00+00
1856,44,Good,PM2.5,,,Not on file,2016/12/12 06:00:00+00
1857,56,Moderate,PM2.5,,,Not on file,2016/12/11 06:00:00+00
1858,37,Good,PM2.5,,,Not on file,2016/12/10 06:00:00+00
1859,26,Good,PM2.5,,,Not on file,2016/12/09 06:00:00+00
1860,40,Good,PM2.5,,,Not on file,2016/12/08 06:00:00+00
1861,29,Good,PM2.5,,,Not on file,2016/12/07 06:00:00+00
1862,19,Good,PM2.5,,,Not on file,2016/12/06 06:00:00+00
1863,23,Good,PM2.5,,,Not on file,2016/12/05 06:00:00+00
1864,37,Good,PM2.5,,,Not on file,2016/12/04 06:00:00+00
1865,42,Good,PM2.5,,,Not on file,2016/12/03 06:00:00+00
1866,28,Good,PM2.5,,,Not on file,2016/12/02 06:00:00+00
1867,23,Good,PM2.5,,,Not on file,2016/12/01 06:00:00+00
1868,28,Good,PM2.5,,,Not on file,2016/11/30 06:00:00+00
1869,37,Good,PM2.5,,,Not on file,2016/11/29 06:00:00+00
1870,45,Good,PM2.5,,,Not on file,2016/11/28 06:00:00+00
1871,52,Moderate,PM2.5,,,Not on file,2016/11/27 06:00:00+00
1872,40,Good,PM2.5,,,Not on file,2016/11/26 06:00:00+00
1873,40,Good,PM2.5,,,Not on file,2016/11/25 06:00:00+00
1874,,Not on file,,,,Not on file,2016/11/25 06:00:00+00
1875,54,Moderate,PM2.5,,,Not on file,2016/11/24 06:00:00+00
1876,33,Good,PM2.5,,,Not on file,2016/11/23 06:00:00+00
1877,31,Good,PM2.5,,,Not on file,2016/11/22 06:00:00+00
1878,28,Good,PM2.5,,,Not on file,2016/11/21 06:00:00+00
1879,17,Good,PM2.5,,,Not on file,2016/11/20 06:00:00+00
1880,40,Good,PM2.5,,,Not on file,2016/11/19 06:00:00+00
1881,47,Good,PM2.5,,,Not on file,2016/11/18 06:00:00+00
1882,57,Moderate,PM2.5,,,Not on file,2016/11/17 06:00:00+00
1883,68,Moderate,PM2.5,,,Not on file,2016/11/16 06:00:00+00
1884,97,Moderate,PM2.5,,,Not on file,2016/11/15 06:00:00+00
1885,110,Unhealthy for Sensitive Groups,PM2.5,,,Not on file,2016/11/14 06:00:00+00
1886,27,Good,PM2.5,,,Not on file,2016/11/13 06:00:00+00
1887,49,Good,PM2.5,,,Not on file,2016/11/12 06:00:00+00
1888,42,Good,PM2.5,,,Not on file,2016/11/11 06:00:00+00
1889,35,Good,PM2.5,,,Not on file,2016/11/10 06:00:00+00
1890,48,Good,PM2.5,,,Not on file,2016/11/09 06:00:00+00
1891,61,Moderate,PM2.5,1,Ragweed,Slight,2016/11/08 06:00:00+00
1892,64,Moderate,PM2.5,1,Ragweed,Slight,2016/11/07 06:00:00+00
1893,48,Good,PM2.5,,Ragweed,Not on file,2016/11/06 05:00:00+00
1894,28,Good,PM2.5,,Ragweed,Not on file,2016/11/05 05:00:00+00
1895,51,Moderate,PM2.5,2,Ragweed,Slight,2016/11/04 05:00:00+00
1896,64,Moderate,PM2.5,2,Ragweed,Slight,2016/11/03 05:00:00+00
1897,55,Moderate,PM2.5,2,Ragweed,Slight,2016/11/02 05:00:00+00
1898,55,Moderate,PM2.5,2,Ragweed,Slight,2016/11/01 05:00:00+00
1899,58,Moderate,PM2.5,1,Ragweed,Slight,2016/10/31 05:00:00+00
1900,64,Moderate,PM2.5,,Ragweed,Not on file,2016/10/30 05:00:00+00
1901,46,Good,PM2.5,,Ragweed,Not on file,2016/10/29 05:00:00+00
1902,44,Good,Ozone 8-hr,1,Ragweed,Slight,2016/10/28 05:00:00+00
1903,64,Moderate,Ozone 8-hr,3,Ragweed,Slight,2016/10/27 05:00:00+00
1904,40,Good,Ozone 8-hr,3,Ragweed,Slight,2016/10/26 05:00:00+00
1905,44,Good,Ozone 8-hr,2,Ragweed,Slight,2016/10/25 05:00:00+00
1906,48,Good,PM2.5,3,Ragweed,Slight,2016/10/24 05:00:00+00
1907,43,Good,PM2.5,3,Ragweed,Slight,2016/10/23 05:00:00+00
1908,27,Good,PM2.5,2,Ragweed,Slight,2016/10/22 05:00:00+00
1909,36,Good,PM2.5,2,Ragweed,Slight,2016/10/21 05:00:00+00
1910,42,Good,PM2.5,0,Ragweed,Slight,2016/10/20 05:00:00+00
1911,38,Good,Ozone 8-hr,4,Ragweed,Slight,2016/10/19 05:00:00+00
1912,36,Good,Ozone 8-hr,4,Ragweed,Slight,2016/10/18 05:00:00+00
1913,39,Good,PM2.5,4,Ragweed,Slight,2016/10/17 05:00:00+00
1914,55,Moderate,PM2.5,4,Ragweed,Slight,2016/10/16 05:00:00+00
1915,40,Good,PM2.5,2,Ragweed,Slight,2016/10/15 05:00:00+00
1916,41,Good,PM2.5,3,Ragweed,Slight,2016/10/14 05:00:00+00
1917,51,Moderate,PM2.5,2,Elm, Grass,2016/10/13 05:00:00+00
1918,50,Good,Ozone 8-hr,4,Elm, Grass,2016/10/12 05:00:00+00
1919,40,Good,Ozone 8-hr,4,Elm, Grass,2016/10/11 05:00:00+00
1920,39,Good,Ozone 8-hr,4,Elm, Grass,2016/10/10 05:00:00+00
1921,37,Good,Ozone 8-hr,4,Elm, Grass,2016/10/09 05:00:00+00
1922,58,Moderate,Ozone 8-hr,5,Elm, Grass,2016/10/08 05:00:00+00
1923,51,Moderate,PM2.5,5,Elm, Grass,2016/10/07 05:00:00+00
1924,51,Moderate,PM2.5,5,Elm, Grass,2016/10/06 05:00:00+00
1925,52,Moderate,PM2.5,6,Elm, Grass,2016/10/05 05:00:00+00
1926,51,Moderate,PM2.5,6,Elm, Grass,2016/10/04 05:00:00+00
1927,52,Moderate,PM2.5,6,Elm, Grass,2016/10/03 05:00:00+00
1928,50,Good,PM2.5,6,Elm, Grass,2016/10/02 05:00:00+00
1929,24,Good,Ozone 8-hr,5,Elm, Grass,2016/10/01 05:00:00+00
1930,20,Good,PM2.5,5,Elm, Grass,2016/09/30 05:00:00+00
1931,43,Good,Ozone 8-hr,6,Elm, Grass,2016/09/29 05:00:00+00
1932,42,Good,Ozone 8-hr,7,Elm, Grass,2016/09/28 05:00:00+00
1933,23,Good,Ozone 8-hr,7,Elm, Grass,2016/09/27 05:00:00+00
1934,51,Moderate,Ozone 8-hr,5,Elm, Grass,2016/09/26 05:00:00+00
1935,77,Moderate,Ozone 8-hr,8,Elm, Grass,2016/09/25 05:00:00+00
1936,87,Moderate,Ozone 8-hr,8,Elm, Grass,2016/09/24 05:00:00+00
1937,61,Moderate,Ozone 8-hr,8,Elm, Grass,2016/09/23 05:00:00+00
1938,48,Good,Ozone 8-hr,8,Grass, Ragweed,2016/09/22 05:00:00+00
1939,46,Good,Ozone 8-hr,8,Grass, Ragweed,2016/09/21 05:00:00+00
1940,46,Good,PM2.5,8,Grass, Ragweed,2016/09/20 05:00:00+00
1941,38,Good,PM2.5,9,Grass, Ragweed,2016/09/19 05:00:00+00
1942,38,Good,PM2.5,9,Grass, Ragweed,2016/09/19 05:00:00+00
1943,40,Good,Ozone 8-hr,5,Grass, Ragweed,2016/09/18 05:00:00+00
1944,52,Moderate,PM2.5,9,Grass, Ragweed,2016/09/17 05:00:00+00
1945,61,Moderate,Ozone 8-hr,9,Grass, Ragweed,2016/09/16 05:00:00+00
1946,50,Good,Ozone 8-hr,10,Grass, Ragweed,2016/09/15 05:00:00+00
1947,55,Moderate,PM2.5,9,Grass, Ragweed,2016/09/14 05:00:00+00
1948,77,Moderate,Ozone 8-hr,9,Grass, Ragweed,2016/09/13 05:00:00+00
1949,33,Good,Ozone 8-hr,9,Grass, Ragweed,2016/09/12 05:00:00+00
1950,39,Good,PM2.5,10,Grass, Ragweed,2016/09/11 05:00:00+00
1951,54,Moderate,PM2.5,10,Grass, Ragweed,2016/09/10 05:00:00+00
1952,51,Moderate,PM2.5,10,Grass, Ragweed,2016/09/09 05:00:00+00
1953,51,Moderate,PM2.5,11,Grass, Ragweed,2016/09/08 05:00:00+00
1954,51,Moderate,PM2.5,10,Grass, Ragweed,2016/09/07 05:00:00+00
1955,49,Good,PM2.5,11,Grass, Ragweed,2016/09/06 05:00:00+00
1956,42,Good,PM2.5,11,Grass, Ragweed,2016/09/05 05:00:00+00
1957,44,Good,Ozone 8-hr,11,Grass, Ragweed,2016/09/04 05:00:00+00
1958,36,Good,Ozone 8-hr,11,Grass, Ragweed,2016/09/03 05:00:00+00
1959,51,Moderate,PM2.5,11,Grass, Ragweed,2016/09/02 05:00:00+00
1960,80,Moderate,PM2.5,10,Grass, Ragweed,2016/09/01 05:00:00+00
1961,76,Moderate,Ozone 8-hr,10,Grass, Ragweed,2016/08/31 05:00:00+00
1962,51,Moderate,PM2.5,10,Grass, Ragweed,2016/08/30 05:00:00+00
1963,43,Good,Ozone 8-hr,10,Grass, Ragweed,2016/08/29 05:00:00+00
1964,43,Good,Ozone 8-hr,10,Grass, Ragweed,2016/08/29 05:00:00+00
1965,47,Good,Ozone 8-hr,10,Grass, Ragweed,2016/08/28 05:00:00+00
1966,45,Good,PM2.5,10,Grass, Ragweed,2016/08/27 05:00:00+00
1967,52,Moderate,PM2.5,10,Grass, Ragweed,2016/08/26 05:00:00+00
1968,46,Good,PM2.5,9,Grass, Ragweed,2016/08/25 05:00:00+00
1969,48,Good,PM2.5,9,Grass, Ragweed,2016/08/24 05:00:00+00
1970,35,Good,Ozone 8-hr,8,Grass, Ragweed,2016/08/23 05:00:00+00
1971,34,Good,PM2.5,8,Grass, Ragweed,2016/08/22 05:00:00+00
1972,23,Good,PM2.5,5,Grass, Ragweed,2016/08/21 05:00:00+00
1973,24,Good,Ozone 8-hr,0,Grass,Slight,2016/08/20 05:00:00+00
1974,23,Good,Ozone 8-hr,3,Grass,Slight,2016/08/19 05:00:00+00
1975,27,Good,Ozone 8-hr,3,Grass,Slight,2016/08/18 05:00:00+00
1976,24,Good,Ozone 8-hr,1,Grass,Slight,2016/08/17 05:00:00+00
1977,32,Good,Ozone 8-hr,6,Grass,Moderate,2016/08/16 05:00:00+00
1978,28,Good,PM2.5,6,Grass,Moderate,2016/08/15 05:00:00+00
1979,28,Good,Ozone 8-hr,5,Grass,Slight,2016/08/14 05:00:00+00
1980,30,Good,PM2.5,6,Grass,Moderate,2016/08/13 05:00:00+00
1981,35,Good,Ozone 8-hr,6,Grass,Moderate,2016/08/12 05:00:00+00
1982,32,Good,Ozone 8-hr,4,Grass,Slight,2016/08/11 05:00:00+00
1983,41,Good,PM2.5,5,Grass,Slight,2016/08/10 05:00:00+00
1984,54,Moderate,Ozone 8-hr,3,Grass,Slight,2016/08/09 05:00:00+00
1985,47,Good,PM2.5,5,Grass,Slight,2016/08/08 05:00:00+00
1986,50,Good,Ozone 8-hr,3,Grass,Slight,2016/08/07 05:00:00+00
1987,53,Moderate,PM2.5,4,Grass,Slight,2016/08/06 05:00:00+00
1988,47,Good,Ozone 8-hr,5,Grass,Slight,2016/08/05 05:00:00+00
1989,52,Moderate,PM2.5,4,Grass,Slight,2016/08/04 05:00:00+00
1990,49,Good,Ozone 8-hr,5,Grass,Slight,2016/08/03 05:00:00+00
1991,50,Good,Ozone 8-hr,4,Grass,Slight,2016/08/02 05:00:00+00
1992,46,Good,Ozone 8-hr,4,Grass,Slight,2016/08/01 05:00:00+00
1993,49,Good,PM2.5,4,Grass,Slight,2016/07/31 05:00:00+00
1994,48,Good,PM2.5,4,Grass,Slight,2016/07/30 05:00:00+00
1995,31,Good,Ozone 8-hr,3,Grass, Ragweed,2016/07/29 05:00:00+00
1996,41,Good,Ozone 8-hr,1,Grass, Ragweed,2016/07/28 05:00:00+00
1997,53,Moderate,PM2.5,2,Grass, Ragweed,2016/07/27 05:00:00+00
1998,53,Moderate,PM2.5,4,Grass, Ragweed,2016/07/26 05:00:00+00
1999,49,Good,PM2.5,3,Grass, Ragweed,2016/07/25 05:00:00+00
2000,56,Moderate,PM2.5,3,Grass, Ragweed,2016/07/24 05:00:00+00
2001,51,Moderate,Ozone 8-hr,10,Grass, Ragweed,2024/09/05 05:00:00+00
2002,50,Good,PM2.5,10,Grass, Ragweed,2024/09/04 05:00:00+00
2003,48,Good,Ozone 8-hr,11,Grass, Ragweed,2024/09/03 05:00:00+00
2004,,Not on file,PM2.5,11,Grass, Ragweed,2024/09/02 05:00:00+00
2005,50,Good,PM2.5,6,Grass, Ragweed,2024/09/01 05:00:00+00
2006,87,Moderate,Ozone 8-hr,10,Grass, Ragweed,2024/08/30 05:00:00+00
2007,101,Unhealthy for Sensitive Groups,Ozone 8-hr,11,Grass, Ragweed,2024/08/29 05:00:00+00
2008,101,Unhealthy for Sensitive Groups,Ozone 8-hr,11,Grass, Ragweed,2024/08/28 05:00:00+00
2009,112,Unhealthy for Sensitive Groups,Ozone 8-hr,10,Grass, Ragweed,2024/08/27 05:00:00+00
2010,105,Unhealthy for Sensitive Groups,Ozone 8-hr,10,Grass, Ragweed,2024/08/26 05:00:00+00
2011,84,Moderate,Ozone 8-hr,10,Grass, Ragweed,2024/08/25 05:00:00+00
2012,84,Moderate,Ozone 8-hr,10,Grass, Ragweed,2024/08/24 05:00:00+00
2013,84,Moderate,Ozone 8-hr,10,Grass, Ragweed,2024/08/23 05:00:00+00
2014,54,Moderate,Ozone 8-hr,9,Grass, Ragweed,2024/08/22 05:00:00+00
2015,51,Moderate,PM2.5,9,Grass, Ragweed,2024/08/21 05:00:00+00
2016,58,Moderate,PM2.5,9,Grass, Ragweed,2024/08/20 05:00:00+00
2017,50,Good,PM2.5,9,Goldenrod, Ragweed,2024/08/19 05:00:00+00
2018,50,Good,PM2.5,8,Grass, Ragweed,2024/08/18 05:00:00+00
2019,50,Good,PM2.5,8,Grass, Ragweed,2024/08/17 05:00:00+00
2020,51,Moderate,PM2.5,4,Grass, Ragweed,2024/08/16 05:00:00+00
2021,51,Moderate,PM2.5,8,Grass,Moderate,2024/08/15 05:00:00+00
2022,51,Moderate,Ozone 8-hr,7,Grass,Moderate,2024/08/14 05:00:00+00
2023,51,Moderate,Ozone 8-hr,7,Grass,Moderate,2024/08/13 05:00:00+00
2024,51,Moderate,Ozone 8-hr,7,Grass,Moderate,2024/08/12 05:00:00+00
2025,50,Good,PM2.5,6,Grass,Moderate,2024/08/11 05:00:00+00
2026,50,Good,PM2.5,6,Grass,Moderate,2024/08/10 05:00:00+00
2027,58,Moderate,PM2.5,7,Grass,Moderate,2024/08/09 05:00:00+00
2028,62,Moderate,PM2.5,6,Grass,Moderate,2024/08/08 05:00:00+00
2029,71,Moderate,PM2.5,6,Grass,Moderate,2024/08/07 05:00:00+00
2030,62,Moderate,PM2.5,5,Grass,Moderate,2024/08/06 05:00:00+00
2031,81,Moderate,PM2.5,6,Grass,Moderate,2024/08/05 05:00:00+00
2032,66,Moderate,PM2.5,5,Grass,Moderate,2024/08/04 05:00:00+00
2033,54,Moderate,PM2.5,5,Grass,Slight,2024/08/03 05:00:00+00
2034,90,Moderate,PM2.5,5,Grass,Moderate,2024/08/02 05:00:00+00
2035,53,Moderate,PM2.5,5,Grass,Moderate,2024/08/01 05:00:00+00
2036,53,Moderate,PM2.5,5,Grass,Moderate,2024/07/31 05:00:00+00
2037,53,Moderate,PM2.5,5,Grass,Moderate,2024/07/30 05:00:00+00
2038,50,Good,PM2.5,0,Grass,Slight,2024/07/29 05:00:00+00
2039,51,Moderate,PM2.5,0,Grass,Slight,2024/07/28 05:00:00+00
2040,71,Moderate,Ozone 8-hr,3,Grass,Slight,2024/07/27 05:00:00+00
2041,100,Moderate,Ozone 8-hr,2,Grass,Slight,2024/07/26 05:00:00+00
2042,50,Good,PM2.5,1,Grass, Ragweed,2024/07/25 05:00:00+00
2043,50,Good,PM2.5,0,Grass, Ragweed,2024/07/24 05:00:00+00
2044,50,Good,PM2.5,0,Grass, Ragweed,2024/07/23 05:00:00+00
2045,51,Moderate,PM2.5,2,Grass, Ragweed,2024/07/22 05:00:00+00
2046,51,Moderate,PM2.5,3,Grass, Ragweed,2024/07/21 05:00:00+00
2047,51,Moderate,PM2.5,3,Grass, Ragweed,2024/07/20 05:00:00+00
2048,50,Good,PM2.5,3,Grass, Ragweed,2024/07/19 05:00:00+00
2049,50,Good,PM2.5,1,Grass,Slight,2024/07/18 05:00:00+00
2050,51,Moderate,PM2.5,2,Grass,Slight,2024/07/17 05:00:00+00
2051,56,Moderate,PM2.5,4,Grass,Slight,2024/07/16 05:00:00+00
2052,67,Moderate,Ozone 8-hr,4,Grass,Slight,2024/07/15 05:00:00+00
2053,67,Moderate,Ozone 8-hr,4,Grass,Slight,2024/07/14 05:00:00+00
2054,56,Moderate,PM2.5,3,Grass,Slight,2024/07/13 05:00:00+00
2055,74,Moderate,Ozone 8-hr,3,Grass,Slight,2024/07/12 05:00:00+00
2056,67,Moderate,Ozone 8-hr,3,Grass,Slight,2024/07/11 05:00:00+00
2057,54,Moderate,Ozone 8-hr,3,Grass,Slight,2024/07/10 05:00:00+00
2058,51,Moderate,PM2.5,0,Grass,Slight,2024/07/09 05:00:00+00
2059,51,Moderate,PM2.5,3,Grass,Slight,2024/07/08 05:00:00+00
2060,51,Moderate,Ozone 8-hr,3,Grass,Slight,2024/07/07 05:00:00+00
2061,51,Moderate,Ozone 8-hr,3,Grass,Slight,2024/07/06 05:00:00+00
2062,51,Moderate,PM2.5,0,Grass,Slight,2024/07/05 05:00:00+00
2063,52,Moderate,PM2.5,2,Grass,Slight,2024/07/04 05:00:00+00
2064,50,Good,PM2.5,4,Grass,Slight,2024/07/03 05:00:00+00
2065,51,Moderate,Ozone 8-hr,4,Grass,Slight,2024/07/02 05:00:00+00
2066,50,Good,PM2.5,4,Grass,Slight,2024/07/01 05:00:00+00
2067,52,Moderate,PM2.5,3,Grass,Slight,2024/06/30 05:00:00+00
2068,51,Moderate,PM2.5,4,Grass,Slight,2024/06/29 05:00:00+00
2069,67,Moderate,Ozone 8-hr,4,Grass,Slight,2024/06/28 05:00:00+00
2070,67,Moderate,Ozone 8-hr,4,Grass,Slight,2024/06/28 05:00:00+00
2071,50,Good,PM2.5,1,Grass,Slight,2024/06/27 05:00:00+00
2072,67,Moderate,Ozone 8-hr,3,Grass,Slight,2024/06/26 05:00:00+00
2073,67,Moderate,Ozone 8-hr,4,Grass,Slight,2024/06/25 05:00:00+00
2074,50,Good,PM2.5,3,Grass,Slight,2024/06/24 05:00:00+00
2075,60,Moderate,PM2.5,60,Grass,Extremely Heavy,2024/06/23 05:00:00+00
2076,100,Moderate,Ozone 8-hr,4,Grass,Slight,2024/06/22 05:00:00+00
2077,100,Moderate,Ozone 8-hr,4,Grass,Slight,2024/06/21 05:00:00+00
2078,84,Moderate,Ozone 8-hr,4,Grass, Poplar,2024/06/20 05:00:00+00
